index,season,matchday,team1,team2
712,2223,34,Roma,Inter
713,2223,34,Atalanta,Juventus
714,2223,34,Lecce,Verona
715,2223,34,Napoli,Fiorentina
716,2223,34,Torino,Monza
717,2223,34,Empoli,Salernitana
718,2223,34,Sassuolo,Bologna
719,2223,34,Udinese,Sampdoria
720,2223,35,Lazio,Lecce
721,2223,35,Inter,Sassuolo
722,2223,35,Salernitana,Atalanta
723,2223,35,Spezia,Milan
724,2223,35,Bologna,Roma
725,2223,35,Fiorentina,Udinese
726,2223,35,Verona,Torino
727,2223,35,Juventus,Cremonese
728,2223,35,Monza,Napoli
729,2223,35,Sampdoria,Empoli
730,2223,36,Sassuolo,Monza
731,2223,36,Atalanta,Verona
732,2223,36,Cremonese,Bologna
733,2223,36,Milan,Sampdoria
734,2223,36,Lecce,Spezia
735,2223,36,Napoli,Inter
736,2223,36,Torino,Fiorentina
737,2223,36,Udinese,Lazio
738,2223,36,Empoli,Juventus
739,2223,36,Roma,Salernitana
740,2223,37,Sampdoria,Sassuolo
741,2223,37,Fiorentina,Roma
742,2223,37,Inter,Atalanta
743,2223,37,Salernitana,Udinese
744,2223,37,Spezia,Torino
745,2223,37,Bologna,Napoli
746,2223,37,Verona,Empoli
747,2223,37,Juventus,Milan
748,2223,37,Lazio,Cremonese
749,2223,37,Monza,Lecce
750,2223,38,Sassuolo,Fiorentina
751,2223,38,Cremonese,Salernitana
752,2223,38,Empoli,Lazio
753,2223,38,Torino,Inter
754,2223,38,Atalanta,Monza
755,2223,38,Lecce,Bologna
756,2223,38,Milan,Verona
757,2223,38,Napoli,Sampdoria
758,2223,38,Roma,Spezia
759,2223,38,Udinese,Juventus
761,2324,1,Empoli,Verona
762,2324,1,Frosinone,Napoli
763,2324,1,Genoa,Fiorentina
764,2324,1,Inter,Monza
765,2324,1,Lecce,Lazio
766,2324,1,Roma,Salernitana
767,2324,1,Sassuolo,Atalanta
768,2324,1,Udinese,Juventus
769,2324,1,Bologna,Milan
770,2324,1,Torino,Cagliari
771,2324,2,Frosinone,Atalanta
772,2324,2,Verona,Roma
773,2324,2,Milan,Torino
774,2324,2,Monza,Empoli
775,2324,2,Fiorentina,Lecce
776,2324,2,Juventus,Bologna
777,2324,2,Lazio,Genoa
778,2324,2,Napoli,Sassuolo
779,2324,2,Cagliari,Inter
780,2324,2,Salernitana,Udinese
781,2324,3,Roma,Milan
782,2324,3,Sassuolo,Verona
783,2324,3,Atalanta,Monza
784,2324,3,Bologna,Cagliari
785,2324,3,Napoli,Lazio
786,2324,3,Udinese,Frosinone
787,2324,3,Empoli,Juventus
788,2324,3,Inter,Fiorentina
789,2324,3,Lecce,Salernitana
790,2324,3,Torino,Genoa
791,2324,4,Genoa,Napoli
792,2324,4,Inter,Milan
793,2324,4,Juventus,Lazio
794,2324,4,Cagliari,Udinese
795,2324,4,Fiorentina,Atalanta
796,2324,4,Frosinone,Sassuolo
797,2324,4,Monza,Lecce
798,2324,4,Roma,Empoli
799,2324,4,Verona,Bologna
800,2324,4,Salernitana,Torino
801,2324,5,Lecce,Genoa
802,2324,5,Salernitana,Frosinone
