league,season,team,player,nationality,position,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_tackled,dribbles_tackled_pct,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
ITA-Serie A,2122,Empoli,Kristjan Asllani,ALB,MF,19,2002,15.0,897,48,274,498,130,5,897,10,7,70.0,3,30.0,573,2653,1112,10,11,2,18,7,596,19
ITA-Serie A,2122,Empoli,Leo Štulac,SVN,MF,26,1994,9.3,554,33,165,301,93,0,554,4,3,75.0,1,25.0,298,1189,532,5,4,0,7,4,381,6
ITA-Serie A,2122,Empoli,Leonardo Mancuso,ITA,FW,29,1992,4.7,113,2,9,40,65,13,113,0,0,,0,,61,342,174,5,4,1,11,4,75,28
ITA-Serie A,2122,Empoli,Liam Henderson,SCO,MF,25,1996,22.4,1019,33,128,418,482,60,1019,13,5,38.5,8,61.5,566,2585,1123,22,19,1,27,14,681,133
ITA-Serie A,2122,Empoli,Liberato Cacace,NZL,DF,20,2000,5.2,297,18,90,147,67,1,297,17,6,35.3,11,64.7,169,926,524,13,5,0,6,3,165,16
ITA-Serie A,2122,Empoli,Lorenzo Tonelli,ITA,DF,31,1990,9.7,662,87,305,333,28,11,662,5,4,80.0,1,20.0,352,1770,1172,7,1,0,7,3,392,3
ITA-Serie A,2122,Empoli,Marco Benassi,ITA,MF,26,1994,4.2,216,9,27,114,78,15,216,4,1,25.0,3,75.0,119,774,382,13,7,2,5,1,145,29
ITA-Serie A,2122,Empoli,Mattia Viti,ITA,DF,19,2002,16.6,866,149,434,399,38,6,866,18,14,77.8,4,22.2,471,2554,1601,10,3,1,7,3,466,3
ITA-Serie A,2122,Empoli,Nedim Bajrami,ALB,"MF,FW",22,1999,22.8,1119,10,75,444,621,89,1116,71,42,59.2,29,40.8,639,4134,2072,72,39,27,55,34,742,177
ITA-Serie A,2122,Empoli,Nicolas Haas,SUI,MF,25,1996,11.1,594,27,126,293,179,17,594,9,2,22.2,7,77.8,325,1374,527,8,9,3,18,8,374,49
ITA-Serie A,2122,Empoli,Patrick Cutrone,ITA,FW,23,1998,15.6,391,3,17,132,250,78,391,18,9,50.0,8,44.4,235,1281,442,20,4,9,37,18,293,139
ITA-Serie A,2122,Empoli,Petar Stojanović,SVN,DF,25,1995,30.4,2084,114,596,933,583,45,2084,93,52,55.9,41,44.1,1112,6625,3787,94,72,23,56,35,1139,110
ITA-Serie A,2122,Empoli,Riccardo Fiamozzi,ITA,DF,28,1993,6.9,438,21,143,210,87,2,438,7,3,42.9,4,57.1,201,935,526,10,11,0,4,4,237,14
ITA-Serie A,2122,Empoli,Riccardo Marchizza,ITA,DF,23,1998,15.0,797,43,209,356,239,18,797,23,12,52.2,11,47.8,402,2248,1134,27,20,2,16,8,415,47
ITA-Serie A,2122,Empoli,Samuele Ricci,ITA,MF,19,2001,17.0,1078,53,291,673,125,2,1078,11,9,81.8,2,18.2,668,3799,1909,24,15,1,10,12,746,13
ITA-Serie A,2122,Empoli,Sebastiano Luperto,ITA,DF,24,1996,21.8,1256,273,717,503,40,13,1256,2,1,50.0,1,50.0,691,3629,2228,21,14,0,8,2,699,3
ITA-Serie A,2122,Empoli,Simone Romagnoli,ITA,DF,31,1990,16.6,982,183,528,424,34,13,982,1,1,100.0,0,0.0,469,2756,1844,14,5,0,4,2,509,1
ITA-Serie A,2122,Empoli,Szymon Żurkowski,POL,MF,23,1997,25.6,1278,62,288,575,439,58,1278,55,38,69.1,17,30.9,805,5566,2935,70,59,6,68,35,854,107
ITA-Serie A,2122,Empoli,Tommaso Baldanzi,ITA,FW,18,2003,0.2,10,0,0,2,8,0,10,0,0,,0,,7,19,6,0,0,0,2,0,8,2
ITA-Serie A,2122,Empoli,Valerio Verre,ITA,MF,27,1994,3.4,214,2,38,94,84,9,214,14,5,35.7,9,64.3,149,878,438,14,9,0,8,9,158,23
ITA-Serie A,2122,Fiorentina,Aleksa Terzić,SRB,DF,21,1999,3.0,279,10,109,108,64,3,279,2,1,50.0,1,50.0,152,730,425,10,6,0,8,3,167,23
ITA-Serie A,2122,Fiorentina,Aleksandr Kokorin,RUS,"FW,MF",30,1991,0.6,33,0,2,18,13,1,33,0,0,,0,,19,102,19,2,1,0,5,0,25,8
ITA-Serie A,2122,Fiorentina,Alfred Duncan,GHA,MF,28,1993,21.5,1103,18,168,645,311,29,1103,23,13,56.5,10,43.5,685,3131,1559,29,27,6,26,16,808,71
ITA-Serie A,2122,Fiorentina,Arthur Cabral,BRA,FW,23,1998,8.3,231,10,30,116,90,42,231,14,9,64.3,5,35.7,117,797,330,8,6,4,17,8,163,27
ITA-Serie A,2122,Fiorentina,Bartłomiej Drągowski,POL,GK,23,1997,6.2,366,251,363,4,0,0,366,0,0,,0,,236,1236,618,0,0,0,0,0,247,0
ITA-Serie A,2122,Fiorentina,Cristiano Biraghi,ITA,DF,28,1992,35.0,2799,72,837,1122,862,46,2797,26,12,46.2,14,53.8,1460,6283,3246,61,52,8,25,6,1793,177
ITA-Serie A,2122,Fiorentina,Dušan Vlahović,SRB,FW,21,2000,20.6,641,21,36,292,319,115,635,37,20,54.1,17,45.9,374,1474,473,18,13,11,82,42,534,138
ITA-Serie A,2122,Fiorentina,Erick Pulgar,CHI,MF,27,1994,3.8,265,5,54,172,45,1,265,3,2,66.7,1,33.3,135,661,319,2,3,0,5,2,176,1
