league,season,team,player,nationality,position,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
ITA-Serie A,2122,Empoli,Mattia Viti,ITA,DF,19,2002,16.6,568,679,83.7,10615,3548,192,213,90.1,291,326,89.3,65,105,61.9,0,0.0,0.0,2,32,1,0,45
ITA-Serie A,2122,Empoli,Nedim Bajrami,ALB,"MF,FW",22,1999,22.8,621,898,69.2,9775,3179,327,387,84.5,220,286,76.9,50,149,33.6,5,4.7,0.3,54,49,44,8,117
ITA-Serie A,2122,Empoli,Nicolas Haas,SUI,MF,25,1996,11.1,351,459,76.5,5455,1771,189,215,87.9,122,151,80.8,26,50,52.0,2,1.0,1.0,13,33,11,1,57
ITA-Serie A,2122,Empoli,Patrick Cutrone,ITA,FW,23,1998,15.6,161,248,64.9,2386,370,97,125,77.6,49,74,66.2,11,20,55.0,0,0.9,-0.9,9,13,9,2,16
ITA-Serie A,2122,Empoli,Petar Stojanović,SVN,DF,25,1995,30.4,1337,1721,77.7,22139,9227,669,746,89.7,527,661,79.7,110,200,55.0,1,3.2,-2.2,35,106,62,14,174
ITA-Serie A,2122,Empoli,Riccardo Fiamozzi,ITA,DF,28,1993,6.9,291,387,75.2,5066,2188,134,155,86.5,105,133,78.9,36,61,59.0,1,0.6,0.4,6,23,6,3,23
ITA-Serie A,2122,Empoli,Riccardo Marchizza,ITA,DF,23,1998,15.0,460,667,69.0,7988,2761,224,253,88.5,186,247,75.3,43,114,37.7,1,1.4,-0.4,11,36,13,10,58
ITA-Serie A,2122,Empoli,Samuele Ricci,ITA,MF,19,2001,17.0,832,932,89.3,15351,4216,315,336,93.8,429,457,93.9,74,106,69.8,1,0.3,0.7,7,90,7,0,103
ITA-Serie A,2122,Empoli,Sebastiano Luperto,ITA,DF,24,1996,21.8,821,982,83.6,16406,6050,249,279,89.2,478,524,91.2,88,159,55.3,1,0.5,0.5,9,56,5,2,76
ITA-Serie A,2122,Empoli,Simone Romagnoli,ITA,DF,31,1990,16.6,612,796,76.9,12093,5583,205,245,83.7,320,395,81.0,83,136,61.0,0,0.4,-0.4,5,44,7,0,61
